epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.7287,1.04156,2.02675,0.8936,0.55571,0.7157,0.59068,0.39839,0.73963,1.24356,0.81141,0.00021671,0.00021671,0.00021671
2,32.589,0.71701,0.62987,0.82462,0.88519,0.84595,0.93358,0.74059,0.6093,0.74628,0.79472,0.000427811,0.000427811,0.000427811
3,40.3062,0.62805,0.50918,0.81688,0.80189,0.8231,0.85968,0.69907,0.57468,0.9615,0.78949,0.000615806,0.000615806,0.000615806
4,47.6442,0.6233,0.44439,0.81267,0.99053,0.97252,0.98795,0.82146,0.555,0.48305,0.78633,0.000780698,0.000780698,0.000780698
5,55.1299,0.64408,0.44191,0.81425,0.97363,0.97564,0.98376,0.81677,0.57347,0.45372,0.78586,0.000922484,0.000922484,0.000922484
6,62.64,0.62323,0.42598,0.81946,0.98883,0.96503,0.98891,0.83538,0.50941,0.36414,0.78377,0.00104117,0.00104117,0.00104117
7,70.1838,0.55563,0.38009,0.81153,0.98867,0.9726,0.98965,0.8567,0.47613,0.35063,0.78153,0.00113674,0.00113674,0.00113674
8,77.6536,0.58981,0.39225,0.81111,0.98532,0.97329,0.98994,0.8714,0.48015,0.34659,0.77853,0.00108938,0.00108938,0.00108938
9,85.1855,0.58078,0.38095,0.80709,0.98154,0.97401,0.99011,0.85294,0.46543,0.32462,0.77918,0.00100687,0.00100687,0.00100687
10,92.5567,0.53839,0.35603,0.80266,0.97513,0.98174,0.99007,0.87693,0.4444,0.31871,0.77275,0.000924352,0.000924352,0.000924352
11,147.822,0.49583,0.35884,0.78958,0.98695,0.99223,0.99444,0.87998,0.4449,0.31638,0.77308,0.000841835,0.000841835,0.000841835
12,155.854,0.46695,0.33604,0.78548,0.98644,0.99009,0.99431,0.88185,0.44843,0.33422,0.77478,0.000759318,0.000759318,0.000759318
13,163.314,0.46752,0.31565,0.78302,0.98897,0.98705,0.99029,0.86307,0.44229,0.30378,0.77484,0.000676802,0.000676802,0.000676802
14,170.733,0.46216,0.31251,0.78577,0.99374,0.97917,0.99066,0.86204,0.46348,0.29668,0.77616,0.000594286,0.000594286,0.000594286
15,177.692,0.46763,0.31176,0.78967,0.99247,0.98219,0.99424,0.89804,0.39099,0.28098,0.7722,0.000511769,0.000511769,0.000511769
16,184.84,0.43849,0.29522,0.78527,0.99392,0.97304,0.99393,0.89711,0.39441,0.26673,0.77567,0.000429253,0.000429253,0.000429253
17,191.749,0.42083,0.28806,0.77955,0.99453,0.97622,0.99428,0.90591,0.38641,0.26233,0.77456,0.000346736,0.000346736,0.000346736
18,198.924,0.4039,0.2737,0.78509,0.98677,0.97759,0.99411,0.90523,0.36248,0.24757,0.7718,0.00026422,0.00026422,0.00026422
19,205.937,0.40847,0.27441,0.77617,0.99387,0.97838,0.99414,0.91085,0.36209,0.24674,0.77206,0.000181703,0.000181703,0.000181703
20,213.152,0.36716,0.25378,0.78563,0.99135,0.98051,0.99432,0.9263,0.34805,0.23625,0.77186,9.91865e-05,9.91865e-05,9.91865e-05
